"recid","age","hsged","white","children","jtpa","married","male","treatment","delta","days"
300535,28,1,1,1,0,0,0,0,1,418
300537,20,1,0,1,1,0,1,1,1,9
300540,32,1,1,0,0,0,1,1,1,7
300542,50,0,1,1,1,0,0,1,0,601
300543,30,1,0,1,0,0,0,0,0,586
300544,19,1,0,0,1,0,0,1,1,70
300545,46,0,0,1,1,0,0,1,1,3
300550,21,1,1,1,1,1,0,1,1,80
300551,29,1,0,0,1,0,1,1,1,43
300553,47,1,0,1,0,0,0,0,1,6
300554,56,0,0,0,1,0,0,1,0,1047
300556,20,0,0,1,0,0,0,0,1,577
300558,29,0,0,1,0,0,0,1,1,197
300559,21,0,1,0,0,0,0,0,1,346
300562,19,0,1,1,0,0,0,0,0,614
300563,20,0,1,1,0,1,1,0,1,151
300564,28,0,1,0,0,0,0,1,1,257
300567,33,1,1,1,1,0,0,1,1,2
300570,23,0,1,0,1,1,1,1,1,37
300573,19,0,0,0,0,0,1,0,1,463
300577,39,1,1,0,0,0,1,0,1,1
300579,31,1,0,1,1,0,0,0,1,93
300581,39,1,1,0,0,0,1,1,1,9
300582,21,1,1,0,1,0,1,1,1,15
300584,18,0,1,0,1,1,0,1,1,545
300585,27,1,0,1,0,0,0,0,1,216
300586,28,0,0,0,0,0,0,1,1,92
300588,21,0,1,0,1,0,1,1,1,114
300590,35,0,1,1,0,1,1,1,1,39
300594,39,0,1,1,1,1,1,1,1,5
300596,38,1,0,0,1,0,1,1,1,56
300597,19,0,0,1,1,0,0,0,1,20
300598,29,1,1,0,0,1,1,1,1,17
300599,29,0,0,1,0,0,0,1,0,859
300600,28,1,0,1,0,0,0,1,1,45
300602,21,0,1,0,0,0,1,0,1,42
300603,30,1,1,0,0,0,0,0,1,410
300605,25,0,0,1,1,1,0,1,1,5
300606,52,1,1,1,0,0,0,0,1,113
300607,39,0,1,0,0,0,0,0,1,8
300613,32,0,1,1,0,1,0,0,1,390
300614,23,1,0,1,0,0,0,1,1,3
300616,31,1,0,1,1,0,0,1,1,373
300617,19,0,1,0,0,0,0,1,0,671
300618,34,1,1,0,0,0,1,0,0,732
300619,16,0,1,0,1,0,1,0,1,112
300620,24,1,0,1,1,1,0,1,1,70
300621,33,0,0,0,0,0,1,1,1,34
300623,22,1,1,0,1,0,0,1,1,155
300626,35,0,0,0,1,0,1,1,1,200
300627,36,0,0,0,0,0,1,0,1,22
300628,21,1,1,0,1,0,1,1,1,414
300629,26,0,1,0,1,0,1,1,0,645
300631,29,1,0,1,1,0,0,1,0,452
300632,28,0,1,0,0,1,1,1,1,75
300633,26,0,1,1,1,1,1,1,1,47
300634,33,1,0,1,1,0,0,1,1,53
300637,16,0,1,0,0,0,1,0,1,29
300638,33,1,0,1,1,0,0,1,0,534
300639,19,1,1,0,0,0,1,1,1,39
300642,27,1,0,1,1,1,1,1,1,16
300643,44,1,0,1,1,1,0,1,1,29
300645,37,0,1,1,0,0,0,1,1,23
300648,29,1,1,1,0,1,1,1,1,5
300649,33,0,0,1,0,0,0,0,1,212
300650,20,1,0,0,1,0,1,1,1,427
300653,21,1,1,0,0,0,1,0,1,196
300654,26,0,1,1,1,1,0,1,1,203
300655,25,0,1,0,1,0,1,1,1,234
300656,21,0,0,1,1,1,0,1,1,379
300659,19,1,0,1,0,0,0,1,1,17
300660,29,1,0,0,0,0,1,0,0,462
300669,20,1,0,0,1,0,0,1,1,148
300670,28,1,1,1,1,0,0,1,1,636
300671,17,1,0,0,0,0,0,1,1,50
300674,28,0,1,1,0,0,0,1,1,244
300675,34,0,0,1,0,0,0,0,0,592
300676,24,1,1,0,1,0,0,1,1,314
300678,20,0,1,0,0,0,1,0,1,598
300679,52,1,0,0,1,0,1,1,1,319
300682,44,1,0,1,0,1,0,0,1,238
300683,20,0,0,0,0,0,1,1,1,99
300685,19,1,1,0,1,0,1,1,1,135
300686,36,0,1,1,0,0,0,0,1,575
300689,27,1,1,1,0,1,0,0,1,159
300692,23,0,1,1,1,0,0,1,1,18
300696,33,0,0,1,1,1,1,1,1,64
300697,27,1,1,1,0,0,0,1,1,62
300698,29,0,1,1,0,1,1,1,1,29
300699,44,0,1,1,0,0,0,1,1,309
300700,53,0,1,0,1,0,0,1,1,27
300701,32,1,1,0,1,0,1,1,1,23
300702,20,1,1,1,1,0,1,1,1,367
300703,18,1,1,0,0,0,1,1,1,16
300704,17,0,1,0,0,0,1,0,1,79
300705,21,1,0,0,1,0,0,1,1,87
300706,25,1,1,1,1,0,0,1,1,68
300708,18,0,0,1,1,0,0,1,1,405
300709,19,0,0,1,1,0,1,0,1,438
300710,28,1,1,1,1,1,1,1,0,609
300711,23,1,1,1,1,1,0,1,1,19
300712,18,0,0,0,0,0,1,1,0,632
300713,29,1,1,1,0,0,0,1,0,616
300722,20,1,1,0,0,0,0,1,1,224
300729,24,0,1,1,0,0,0,0,1,58
300730,20,0,1,1,1,0,0,1,1,86
300733,21,0,0,1,0,0,0,1,1,80
300735,19,1,1,1,1,0,0,1,1,791
300739,19,0,1,1,1,0,1,1,1,46
300740,72,0,1,0,0,1,1,0,1,128
300742,27,1,1,0,1,0,1,1,1,25
300743,25,0,1,0,0,0,1,0,1,6
300744,25,0,0,0,0,0,1,0,0,598
300747,35,0,1,1,0,0,0,0,1,290
300748,19,0,1,0,1,0,0,1,1,1162
300749,26,0,0,0,0,0,0,0,1,413
300750,26,1,0,0,1,0,1,1,1,82
300751,30,0,0,0,0,0,1,0,0,522
300752,25,0,1,1,0,0,0,0,1,155
300759,51,0,1,0,0,0,1,0,1,274
300763,31,1,1,1,1,0,0,1,0,629
300764,38,0,1,0,0,0,1,0,1,333
300765,25,0,0,1,0,0,0,0,1,226
300766,29,1,0,0,1,0,1,1,1,28
300767,29,0,1,1,1,0,0,1,1,186
300769,27,1,1,1,0,1,0,0,1,106
300770,27,0,0,0,1,0,1,1,1,75
300772,34,1,1,0,0,0,1,1,1,14
300775,17,0,0,0,0,0,1,0,1,89
300779,29,1,0,1,0,0,0,0,1,49
300780,35,0,0,1,0,0,0,1,1,23
300781,16,0,1,0,0,0,1,1,1,241
300783,16,0,1,1,0,0,0,0,1,72
300784,38,1,1,1,0,1,0,0,1,7
300785,19,0,0,0,1,0,1,1,1,199
300790,23,0,1,1,1,1,0,1,1,9
300792,31,1,1,1,0,1,1,0,1,46
300793,27,0,0,0,1,0,1,1,1,380
300796,40,0,1,1,0,0,0,0,1,431
300797,36,1,1,1,1,0,0,1,1,149
300798,33,0,0,0,0,0,1,1,1,1275
300801,18,1,1,0,1,0,0,1,1,23
300802,35,1,1,1,1,0,0,1,1,149
300803,43,0,1,0,1,0,0,1,1,126
300804,51,0,1,1,0,0,0,1,1,119
300805,29,0,0,1,1,1,1,1,1,12
300809,19,1,0,0,1,0,0,1,1,238
300812,38,0,1,1,0,0,0,0,1,521
300814,30,0,1,0,1,0,0,1,1,388
300815,33,0,1,1,0,1,0,1,0,591
300817,41,1,0,1,1,0,0,1,1,107
300818,30,1,1,1,1,0,0,1,0,616
300819,37,1,0,0,1,0,1,0,1,66
300820,40,1,1,1,0,1,1,0,1,276
300821,21,1,0,1,1,0,0,1,1,46
300823,28,1,1,0,0,0,1,0,1,52
300824,34,1,1,0,1,0,0,1,1,295
300825,42,1,1,1,1,1,1,0,1,141
300826,30,0,1,1,1,0,0,1,1,45
